SignatureTime	PrioritizationTime	APFD	TimeToDetect
7.500569	0.189596	0.696850393701	64.704
7.500569	0.189596	0.481627296588	60.096
7.500569	0.189596	0.636482939633	30.901
7.500569	0.189596	0.990813648294	4.813
7.500569	0.189596	0.709973753281	15.042
7.500569	0.189596	0.263779527559	40.913
7.500569	0.189596	0.208661417323	62.502
7.500569	0.189596	0.741469816273	45.158
7.500569	0.189596	0.636482939633	30.901
7.500569	0.189596	0.767716535433	45.193
7.500569	0.189596	0.988188976378	24.234
7.500569	0.189596	0.376640419948	48.08
7.500569	0.189596	0.799212598425	26.676
7.500569	0.189596	0.712598425197	10.935
7.500569	0.189596	0.0301837270341	6.949
7.500569	0.189596	0.127296587927	0.644
7.500569	0.189596	0.636482939633	30.901
7.500569	0.189596	0.951443569554	6.188
7.500569	0.189596	0.444881889764	44.933
7.500569	0.189596	0.274278215223	31.223
7.500569	0.189596	0.0564304461942	0.582
7.500569	0.189596	0.171916010499	31.784
7.500569	0.189596	0.549868766404	59.082
7.500569	0.189596	0.783464566929	42.655
7.500569	0.189596	0.649606299213	44.056
7.500569	0.189596	0.95406824147	13.071
7.500569	0.064779	0.583989501312	64.704
7.500569	0.064779	0.253280839895	60.096
7.500569	0.064779	0.757217847769	30.901
7.500569	0.064779	0.982939632546	4.813
7.500569	0.064779	0.754593175853	15.042
7.500569	0.064779	0.812335958005	40.913
7.500569	0.064779	0.557742782152	62.502
7.500569	0.064779	0.615485564304	45.158
7.500569	0.064779	0.757217847769	30.901
7.500569	0.064779	0.96719160105	45.193
7.500569	0.064779	0.560367454068	24.234
7.500569	0.064779	0.780839895013	48.08
7.500569	0.064779	0.145669291339	26.676
7.500569	0.064779	0.767716535433	10.935
7.500569	0.064779	0.541994750656	6.949
7.500569	0.064779	0.547244094488	0.644
7.500569	0.064779	0.757217847769	30.901
7.500569	0.064779	0.597112860892	6.188
7.500569	0.064779	0.44750656168	44.933
7.500569	0.064779	0.762467191601	31.223
7.500569	0.064779	0.389763779528	0.582
7.500569	0.064779	0.0853018372703	31.784
7.500569	0.064779	0.52624671916	59.082
7.500569	0.064779	0.825459317585	42.655
7.500569	0.064779	0.334645669291	44.056
7.500569	0.064779	0.996062992126	13.071
7.500569	0.065694	0.751968503937	64.704
7.500569	0.065694	0.702099737533	60.096
7.500569	0.065694	0.738845144357	30.901
7.500569	0.065694	0.917322834646	4.813
7.500569	0.065694	0.253280839895	15.042
7.500569	0.065694	0.856955380577	40.913
7.500569	0.065694	0.44750656168	62.502
7.500569	0.065694	0.681102362205	45.158
7.500569	0.065694	0.738845144357	30.901
7.500569	0.065694	0.783464566929	45.193
7.500569	0.065694	0.397637795276	24.234
7.500569	0.065694	0.190288713911	48.08
7.500569	0.065694	0.969816272966	26.676
7.500569	0.065694	0.544619422572	10.935
7.500569	0.065694	0.0931758530184	6.949
7.500569	0.065694	0.360892388451	0.644
7.500569	0.065694	0.738845144357	30.901
7.500569	0.065694	0.95406824147	6.188
7.500569	0.065694	0.544619422572	44.933
7.500569	0.065694	0.589238845144	31.223
7.500569	0.065694	0.011811023622	0.582
7.500569	0.065694	0.688976377953	31.784
7.500569	0.065694	0.39501312336	59.082
7.500569	0.065694	0.725721784777	42.655
7.500569	0.065694	0.452755905512	44.056
7.500569	0.065694	0.985564304462	13.071
7.500569	0.065768	0.749343832021	64.704
7.500569	0.065768	0.641732283465	60.096
7.500569	0.065768	0.891076115486	30.901
7.500569	0.065768	0.770341207349	4.813
7.500569	0.065768	0.791338582677	15.042
7.500569	0.065768	0.0616797900262	40.913
7.500569	0.065768	0.568241469816	62.502
7.500569	0.065768	0.597112860892	45.158
7.500569	0.065768	0.891076115486	30.901
7.500569	0.065768	0.0853018372703	45.193
