SignatureTime	PrioritizationTime	APFD	TimeToDetect
0.072553	0.001817	0.0	0
0.072553	0.001817	0.1875	170.381615385
0.072553	0.001817	0.9375	145.381846154
0.072553	0.001817	0.9375	145.381846154
0.072553	0.001817	0.3125	23.6553230769
0.072553	0.001817	0.9375	78.4918615385
0.072553	0.001817	0.8125	39.9642923077
0.072553	0.001817	0.1875	145.381846154
0.072553	0.001817	0.9375	224.76647476
0.072553	0.001817	0.8125	101.195507692
0.072553	0.001817	0.8125	101.195507692
0.072553	0.001817	0.8125	23.6553230769
0.072553	0.001967	0.0	0
0.072553	0.001967	0.1875	170.381615385
0.072553	0.001967	0.3125	145.381846154
0.072553	0.001967	0.3125	145.381846154
0.072553	0.001967	0.9375	23.6553230769
0.072553	0.001967	0.5625	78.4918615385
0.072553	0.001967	0.8125	39.9642923077
0.072553	0.001967	0.3125	145.381846154
0.072553	0.001967	0.0625	224.76647476
0.072553	0.001967	0.4375	101.195507692
0.072553	0.001967	0.4375	101.195507692
0.072553	0.001967	0.9375	23.6553230769
0.072553	0.002076	0.0	0
0.072553	0.002076	0.1875	170.381615385
0.072553	0.002076	0.8125	145.381846154
0.072553	0.002076	0.8125	145.381846154
0.072553	0.002076	0.3125	23.6553230769
0.072553	0.002076	0.8125	78.4918615385
0.072553	0.002076	0.9375	39.9642923077
0.072553	0.002076	0.8125	145.381846154
0.072553	0.002076	0.0625	224.76647476
0.072553	0.002076	0.9375	101.195507692
0.072553	0.002076	0.9375	101.195507692
0.072553	0.002076	0.9375	23.6553230769
0.072553	0.002031	0.0	0
0.072553	0.002031	0.1875	170.381615385
0.072553	0.002031	0.8125	145.381846154
0.072553	0.002031	0.8125	145.381846154
0.072553	0.002031	0.3125	23.6553230769
0.072553	0.002031	0.8125	78.4918615385
0.072553	0.002031	0.9375	39.9642923077
0.072553	0.002031	0.8125	145.381846154
0.072553	0.002031	0.0625	224.76647476
0.072553	0.002031	0.9375	101.195507692
0.072553	0.002031	0.9375	101.195507692
0.072553	0.002031	0.9375	23.6553230769
0.072553	0.002091	0.0	0
0.072553	0.002091	0.1875	170.381615385
0.072553	0.002091	0.9375	145.381846154
0.072553	0.002091	0.9375	145.381846154
0.072553	0.002091	0.3125	23.6553230769
0.072553	0.002091	0.9375	78.4918615385
0.072553	0.002091	0.8125	39.9642923077
0.072553	0.002091	0.9375	145.381846154
0.072553	0.002091	0.0625	224.76647476
0.072553	0.002091	0.8125	101.195507692
0.072553	0.002091	0.8125	101.195507692
0.072553	0.002091	0.8125	23.6553230769
0.072553	0.003277	0.0	0
0.072553	0.003277	0.9375	170.381615385
0.072553	0.003277	0.3125	145.381846154
0.072553	0.003277	0.3125	145.381846154
0.072553	0.003277	0.9375	23.6553230769
0.072553	0.003277	0.5625	78.4918615385
0.072553	0.003277	0.8125	39.9642923077
0.072553	0.003277	0.9375	145.381846154
0.072553	0.003277	0.0625	224.76647476
0.072553	0.003277	0.4375	101.195507692
0.072553	0.003277	0.4375	101.195507692
0.072553	0.003277	0.6875	23.6553230769
0.072553	0.001532	0.0	0
0.072553	0.001532	0.1875	170.381615385
0.072553	0.001532	0.9375	145.381846154
0.072553	0.001532	0.9375	145.381846154
0.072553	0.001532	0.3125	23.6553230769
0.072553	0.001532	0.9375	78.4918615385
0.072553	0.001532	0.8125	39.9642923077
0.072553	0.001532	0.1875	145.381846154
0.072553	0.001532	0.9375	224.76647476
0.072553	0.001532	0.8125	101.195507692
0.072553	0.001532	0.8125	101.195507692
0.072553	0.001532	0.8125	23.6553230769
0.072553	0.003005	0.0	0
0.072553	0.003005	0.1875	170.381615385
0.072553	0.003005	0.4375	145.381846154
0.072553	0.003005	0.4375	145.381846154
