SignatureTime	PrioritizationTime	APFD
0.337177	0.002886	0.0
0.337177	0.003444	0.0
0.337177	0.010498	0.0
0.337177	0.007147	0.0
0.337177	0.016999	0.0
0.337177	0.00546	0.0
0.337177	0.005967	0.0
0.337177	0.006569	0.0
0.337177	0.00465	0.0
0.337177	0.002797	0.0
